StopID,VehicleID,StartRow,StopRow,StartTime,EndTime,Latitude,Longitude,Average Speed before stop,Distance from previous stop(in kms),Time travelled before stop,Speed Variance,Duration,Label
0,C1415,0,111,2017-04-07 18:01:21,2017-04-07 19:05:21,28.2766117767857,112.671723696429,0,0,0,0,64.5,D
1,C1415,116,117,2017-04-07 19:07:51,2017-04-07 19:08:21,28.2775375,112.67481,9.5,0.420794177014255,2.5,21.6666666666667,1,M
2,C1415,127,127,2017-04-07 19:13:21,2017-04-07 19:13:21,28.280226,112.65642,30,2.4809608092011,5,267.5,0.5,M
3,C1415,435,436,2017-04-07 21:47:21,2017-04-07 21:47:51,29.356918,111.260825,77.1205211726384,196.684658793189,154,88.9167997274914,1,M
4,C1415,497,508,2017-04-07 22:17:21,2017-04-07 22:22:51,29.3706944166667,110.939103,74.35,37.3724027630479,29.5,137.248305084746,6,M
5,C1415,510,552,2017-04-07 22:23:51,2017-04-07 22:44:51,29.3705735116279,110.938715790698,5,0.057044825116028,1,5,21.5,D
6,C1415,612,612,2017-04-07 23:17:21,2017-04-07 23:17:21,29.210571,110.665144,64.2542372881356,33.8662482330702,32.5,172.330800701344,0.5,M
7,C1415,641,642,2017-04-07 23:31:51,2017-04-07 23:32:21,29.140906,110.524057,66.5357142857143,16.2600616157924,14.5,73.2208994708995,1,M
8,C1415,650,651,2017-04-07 23:36:21,2017-04-07 23:36:51,29.14407,110.481554,71.2,4.38778466804702,4,64.2,1,M
9,C1415,657,659,2017-04-07 23:39:51,2017-04-07 23:40:51,29.16346,110.447461,80,4.21881436353374,3,38.5,1.5,M
10,C1415,685,688,2017-04-07 23:53:51,2017-04-07 23:55:21,29.143862,110.310488,58.36,14.0023828741098,13,138.24,2,M
11,C1415,706,706,2017-04-08 00:07:21,2017-04-08 00:07:21,29.03705,110.220036,71.4117647058824,16.4691108023402,12,73.2573529411765,1,M
12,C1415,711,711,2017-04-08 00:12:21,2017-04-08 00:12:21,29.010788,110.16869,73,6.37773748114246,5,95.3333333333333,1,M
13,C1415,731,733,2017-04-08 00:32:21,2017-04-08 00:34:21,28.943667,109.943287,71.0526315789474,24.0517600207007,20,124.719298245614,3,M
14,C1415,747,748,2017-04-08 00:48:21,2017-04-08 00:49:21,28.889682,109.818303,66.0769230769231,16.8434945244574,14,133.24358974359,2,M
15,C1415,755,755,2017-04-08 00:56:21,2017-04-08 00:56:21,28.962135,109.778094,70.3333333333333,9.16201001634398,7,146.666666666667,1,M
16,C1415,763,766,2017-04-08 01:04:21,2017-04-08 01:07:21,29.0344565,109.72141675,69.1428571428571,9.29309106895415,8,94.8095238095238,4,M
17,C1415,774,775,2017-04-08 01:17:21,2017-04-08 01:18:21,29.113144,109.639921,55.1428571428571,11.6535043020231,10,94.4761904761905,2,M
18,C1415,781,781,2017-04-08 01:24:21,2017-04-08 01:24:21,29.164288,109.632719,56.6,6.33540709658071,6,638.3,1,M
19,C1415,1214,1215,2017-04-08 08:42:21,2017-04-08 08:43:21,29.237936,109.645918,56.1111111111111,9.54579077056933,438,332.361111111111,2,M
20,C1415,1224,1224,2017-04-08 08:52:21,2017-04-08 08:52:21,29.318748,109.575705,70.25,11.502412301601,9,107.642857142857,1,M
21,C1415,1248,1250,2017-04-08 09:16:21,2017-04-08 09:18:21,29.5184713333333,109.469085666667,73,27.4390103111069,24,38.5,3,M
22,C1415,1279,1279,2017-04-08 10:07:21,2017-04-08 10:07:21,29.919483,109.437736,67,50.0198939534779,49,131.777777777778,2.5,M
23,C1415,1282,1282,2017-04-08 10:10:21,2017-04-08 10:10:21,29.959775,109.419551,59.5,4.89358470235424,3,12.5,1,M
24,C1415,1309,1309,2017-04-08 10:49:21,2017-04-08 10:49:21,30.309444,109.533284,71.4230769230769,44.9148846936312,39,79.6938461538462,1,M
25,C1415,1318,1318,2017-04-08 10:58:21,2017-04-08 10:58:21,30.333735,109.494387,33.875,5.29448502429075,9,276.410714285714,1,M
26,C1415,1322,1322,2017-04-08 11:04:21,2017-04-08 11:04:21,30.323708,109.475565,29.3333333333333,3.22270763711012,6,217.333333333333,3,M
27,C1415,1325,1325,2017-04-08 11:07:21,2017-04-08 11:07:21,30.326144,109.46532,30.5,2.48067419577259,3,180.5,1,M
28,C1415,1332,1332,2017-04-08 11:14:21,2017-04-08 11:14:21,30.299429,109.471978,35.6666666666667,4.0739526374289,7,42.6666666666667,1,M
29,C1415,1334,2767,2017-04-08 11:16:21,2017-04-09 11:14:51,30.2988109616458,109.470770092748,6,0.576573686362552,2,6,1438.5,M
30,C1415,2768,4207,2017-04-09 11:15:51,2017-04-10 11:15:21,30.2987856729166,109.470741914583,0,0,0,0,1439.5,M
31,C1415,4208,5646,2017-04-10 11:16:21,2017-04-11 11:14:51,30.2988265858235,109.470721569145,0,0,0,0,1438.5,M
32,C1415,5647,5954,2017-04-11 11:15:51,2017-04-11 16:22:41,30.2990587012987,109.470753045454,0,0,0,0,306.833333333333,M
33,C1415,5958,5958,2017-04-11 16:26:01,2017-04-11 16:26:01,30.298856,109.472026,16.6666666666667,0.87137644967446,3.33333333333333,85.3333333333333,0.833333333333333,M
34,C1415,5967,5967,2017-04-11 16:33:31,2017-04-11 16:33:31,30.319826,109.458539,19.375,2.91963447575658,7.5,46.5535714285714,0.833333333333333,M
35,C1415,5972,5973,2017-04-11 16:37:41,2017-04-11 16:38:31,30.323828,109.474936,29.25,2.12311961475816,4.16666666666667,224.25,1.66666666666667,M
36,C1415,5975,5977,2017-04-11 16:40:11,2017-04-11 16:41:51,30.3223966666667,109.481994333333,17,0.307569441086195,1.66666666666667,17,2.5,M
37,C1415,5990,5990,2017-04-11 16:52:41,2017-04-11 16:52:41,30.309152,109.533521,39.8333333333333,7.82174467779533,10.8333333333333,271.787878787879,0.833333333333333,M
38,C1415,6013,6013,2017-04-11 17:11:51,2017-04-11 17:11:51,30.439018,109.614364,60.6818181818182,17.4940130815729,19.1666666666667,117.751082251082,0.833333333333333,M
39,C1415,6025,6028,2017-04-11 17:21:51,2017-04-11 17:24:21,30.490724,109.703851,65.3636363636364,10.8676327488295,10,29.0545454545455,3.33333333333333,M
40,C1415,6031,6031,2017-04-11 17:26:51,2017-04-11 17:26:51,30.465184,109.749617,64,5.28521543903996,2.5,0,0.833333333333333,M
41,C1415,6045,6066,2017-04-11 17:38:31,2017-04-11 17:56:01,30.4952744090909,109.846290318182,56.5384615384615,11.3238841706318,11.6666666666667,13.9358974358974,18.3333333333333,D
42,C1415,6069,6069,2017-04-11 17:58:31,2017-04-11 17:58:31,30.509406,109.854947,57.5,1.80015997847677,2.5,840.5,0.833333333333333,M
43,C1415,6102,6103,2017-04-11 18:26:01,2017-04-11 18:26:51,30.653171,110.096105,63.59375,29.5895369019157,27.5,17.6683467741935,1.66666666666667,M
44,C1415,6106,6110,2017-04-11 18:29:21,2017-04-11 18:32:41,30.644153,110.124412,52,2.88989146978357,2.5,2,4.16666666666667,M
45,C1415,6112,6115,2017-04-11 18:39:21,2017-04-11 18:44:51,30.626669,110.199876,55,7.53709028248313,6.66666666666667,55,11.3333333333333,D
46,C1415,6157,6159,2017-04-11 19:39:51,2017-04-11 19:41:31,30.616679,110.332443,49.375,13.1918628000315,55,289.125,4,M
47,C1415,6163,6166,2017-04-11 19:44:51,2017-04-11 19:47:21,30.621881,110.400928,67,6.58373166582969,3.33333333333333,4,3.33333333333333,M
48,C1415,6169,6169,2017-04-11 19:49:51,2017-04-11 19:49:51,30.616798,110.453984,69,5.15162200434919,2.5,2,0.833333333333333,M
49,C1415,6172,6172,2017-04-11 19:52:21,2017-04-11 19:52:21,30.619392,110.479425,64,2.83880421781227,2.5,18,0.833333333333333,M
50,C1415,6197,6209,2017-04-11 20:13:11,2017-04-11 20:23:11,30.628438,110.67345,54.2916666666667,19.0284616922223,20.8333333333333,65.5199275362319,10.8333333333333,D
51,C1415,6217,6217,2017-04-11 20:29:51,2017-04-11 20:29:51,30.604414,110.829066,65.4285714285714,15.2351383727674,6.66666666666667,10.2857142857143,0.833333333333333,M
52,C1415,6223,6235,2017-04-11 20:34:51,2017-04-11 20:44:51,30.6022570769231,110.907805692308,64.6,5.61272582707286,5,17.3,10.8333333333333,D
53,C1415,6242,6243,2017-04-11 20:50:41,2017-04-11 20:51:31,30.57862,111.037415,66.3333333333333,9.54000510052797,5.83333333333333,135.866666666667,1.66666666666667,M
54,C1415,6248,6259,2017-04-11 20:55:41,2017-04-11 21:04:51,30.5729388333333,111.07552575,44.5,3.83232759938942,4.16666666666667,573.666666666667,10,D
55,C1415,6265,6265,2017-04-11 21:09:51,2017-04-11 21:09:51,30.56016,111.116412,60.2,4.18026826213137,5,53.7,0.833333333333333,M
56,C1415,6269,6269,2017-04-11 21:13:11,2017-04-11 21:13:11,30.556523,111.1509,66.6666666666667,3.84496778477589,3.33333333333333,22.3333333333333,0.833333333333333,M
