Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Index,Date and Time,Speed (km/h),Distance traveled (km).1,Status,Position,Longitude,Latitude,Distance_geopy,Distance traveled (km)
0,2,2,2,2,,2017-04-14 00:01:42,62,1,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距汤家塘 约69米,距花围村 约326米",112.80327,27.82023,863.0942768912033,1
1,3,3,3,3,,2017-04-14 00:02:30,56,1,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距肖家屋场 约162米,距猪婆洞 约377米",112.80107,27.81337000000001,792.8891655153836,1
2,4,4,4,4,,2017-04-14 00:03:18,53,2,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距金龙村 约194米,距樟树咀 约254米",112.8003,27.806887,724.8447251567029,2
3,5,5,5,5,,2017-04-14 00:04:06,37,2,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距左家冲 约38米,距乌龟山 约197米",112.79932,27.80115,645.1673540802266,2
4,6,6,6,6,,2017-04-14 00:06:30,68,4,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距淡高屋场 约168米,距秀房公 约187米",112.79536,27.78255,2104.592593837108,4
5,7,7,7,7,,2017-04-14 00:13:10,76,10,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距炮竹湾 约169米,距大茅坪 约367米",112.782265,27.722196999999998,6833.552325337655,10
6,8,8,8,8,,2017-04-14 00:14:02,65,10,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距金凤冲 约165米,距陈氏祠 约248米",112.779945,27.7128,1069.5651397770273,10
7,9,9,9,9,,2017-04-14 00:15:06,68,11,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距菱角塘 约312米,距泉冲庵 约360米",112.775116,27.703163,1172.3018647922713,11
8,10,10,10,10,,2017-04-14 00:15:53,69,11,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距周家大塘 约258米,距季阳祠 约327米",112.773155,27.69538,886.7047463728737,11
9,11,11,11,11,,2017-04-14 00:16:41,56,12,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距沙塘 约99米,距胡家冲 约114米",112.76948999999999,27.68815,881.2117705129252,12
10,12,12,12,12,,2017-04-14 00:17:46,64,12,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距麻园里 约165米,距粟皮塘 约300米",112.76493,27.680626,949.5031259827713,12
11,13,13,13,13,,2017-04-14 00:18:34,63,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距油麻塘 约246米,距檀树坝 约342米",112.76131399999998,27.67326,893.1147449180729,13
12,14,14,14,14,,2017-04-14 00:19:22,41,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约185米,距方桥公 约266米",112.75863999999999,27.666725,772.9023345195062,13
13,15,15,15,15,,2017-04-14 00:20:10,12,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约118米,距青竹圫 约315米",112.757576,27.664824,235.92840928428555,13
14,16,16,16,16,,2017-04-14 00:23:59,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,18.24556464606138,13
15,17,17,17,17,,2017-04-14 00:27:15,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
16,18,18,18,18,,2017-04-14 00:30:31,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
17,19,19,19,19,,2017-04-14 00:33:46,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
18,20,20,20,20,,2017-04-14 00:37:02,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
19,21,21,21,21,,2017-04-14 00:40:20,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
20,22,22,22,22,,2017-04-14 00:43:36,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
21,23,23,23,23,,2017-04-14 00:46:52,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
22,24,24,24,24,,2017-04-14 00:50:08,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
23,25,25,25,25,,2017-04-14 00:53:24,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
24,26,26,26,26,,2017-04-14 00:56:41,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
25,27,27,27,27,,2017-04-14 00:59:57,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
26,28,28,28,28,,2017-04-14 01:03:13,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
27,29,29,29,29,,2017-04-14 01:06:29,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
28,30,30,30,30,,2017-04-14 01:09:44,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
29,31,31,31,31,,2017-04-14 01:13:01,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
30,32,32,32,32,,2017-04-14 01:16:18,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
31,33,33,33,33,,2017-04-14 01:19:34,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
32,34,34,34,34,,2017-04-14 01:22:50,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
33,35,35,35,35,,2017-04-14 01:26:06,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
34,36,36,36,36,,2017-04-14 01:29:22,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
35,37,37,37,37,,2017-04-14 01:32:39,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
36,38,38,38,38,,2017-04-14 01:35:55,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
37,39,39,39,39,,2017-04-14 01:39:11,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
38,40,40,40,40,,2017-04-14 01:42:27,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
39,41,41,41,41,,2017-04-14 01:45:42,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
40,42,42,42,42,,2017-04-14 01:48:59,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
41,43,43,43,43,,2017-04-14 01:52:16,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
42,44,44,44,44,,2017-04-14 01:55:32,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
43,45,45,45,45,,2017-04-14 01:58:47,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
44,46,46,46,46,,2017-04-14 02:02:03,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
45,47,47,47,47,,2017-04-14 02:05:20,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
46,48,48,48,48,,2017-04-14 02:08:37,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
47,49,49,49,49,,2017-04-14 02:11:53,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
48,50,50,50,50,,2017-04-14 02:15:09,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
49,51,51,51,51,,2017-04-14 02:18:24,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
50,52,52,52,52,,2017-04-14 02:21:41,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
51,53,53,53,53,,2017-04-14 02:24:58,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
52,54,54,54,54,,2017-04-14 02:28:14,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
53,55,55,55,55,,2017-04-14 02:31:30,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
54,56,56,56,56,,2017-04-14 02:34:46,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
55,57,57,57,57,,2017-04-14 02:38:02,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
56,58,58,58,58,,2017-04-14 02:41:19,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
57,59,59,59,59,,2017-04-14 02:44:35,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
58,60,60,60,60,,2017-04-14 02:47:51,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
59,61,61,61,61,,2017-04-14 02:51:07,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
60,62,62,62,62,,2017-04-14 02:54:23,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
61,63,63,63,63,,2017-04-14 02:57:40,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
62,64,64,64,64,,2017-04-14 03:00:56,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
63,65,65,65,65,,2017-04-14 03:04:12,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
64,66,66,66,66,,2017-04-14 03:07:28,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
65,67,67,67,67,,2017-04-14 03:10:43,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
66,68,68,68,68,,2017-04-14 03:14:00,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
67,69,69,69,69,,2017-04-14 03:17:17,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
68,70,70,70,70,,2017-04-14 03:20:33,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
69,71,71,71,71,,2017-04-14 03:23:49,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
70,72,72,72,72,,2017-04-14 03:27:05,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
71,73,73,73,73,,2017-04-14 03:30:21,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
72,74,74,74,74,,2017-04-14 03:33:38,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
73,75,75,75,75,,2017-04-14 03:36:54,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
74,76,76,76,76,,2017-04-14 03:40:10,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
75,77,77,77,77,,2017-04-14 03:43:26,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
76,78,78,78,78,,2017-04-14 03:46:41,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
77,79,79,79,79,,2017-04-14 03:49:58,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
78,80,80,80,80,,2017-04-14 03:53:15,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
79,81,81,81,81,,2017-04-14 03:56:31,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
80,82,82,82,82,,2017-04-14 03:59:47,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
81,83,83,83,83,,2017-04-14 04:03:02,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
82,84,84,84,84,,2017-04-14 04:06:19,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
83,85,85,85,85,,2017-04-14 04:09:36,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
84,86,86,86,86,,2017-04-14 04:12:52,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
85,87,87,87,87,,2017-04-14 04:16:08,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
86,88,88,88,88,,2017-04-14 04:19:24,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
87,89,89,89,89,,2017-04-14 04:22:39,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
88,90,90,90,90,,2017-04-14 04:25:57,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
89,91,91,91,91,,2017-04-14 04:29:13,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
90,92,92,92,92,,2017-04-14 04:32:29,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
91,93,93,93,93,,2017-04-14 04:35:45,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
92,94,94,94,94,,2017-04-14 04:39:00,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
93,95,95,95,95,,2017-04-14 04:42:17,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
94,96,96,96,96,,2017-04-14 04:45:34,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
95,97,97,97,97,,2017-04-14 04:48:50,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
96,98,98,98,98,,2017-04-14 04:52:06,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
97,99,99,99,99,,2017-04-14 04:55:21,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
98,100,100,100,100,,2017-04-14 04:58:38,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
99,101,101,101,101,,2017-04-14 05:01:55,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
100,102,102,102,102,,2017-04-14 05:05:11,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
101,103,103,103,103,,2017-04-14 05:08:27,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
102,104,104,104,104,,2017-04-14 05:11:42,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
103,105,105,105,105,,2017-04-14 05:14:58,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
104,106,106,106,106,,2017-04-14 05:18:16,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
105,107,107,107,107,,2017-04-14 05:21:32,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
106,108,108,108,108,,2017-04-14 05:24:48,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
107,109,109,109,109,,2017-04-14 05:28:04,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
108,110,110,110,110,,2017-04-14 05:31:19,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
109,111,111,111,111,,2017-04-14 05:34:36,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
110,112,112,112,112,,2017-04-14 05:37:53,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
111,113,113,113,113,,2017-04-14 05:41:09,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
112,114,114,114,114,,2017-04-14 05:44:25,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
113,115,115,115,115,,2017-04-14 05:47:41,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
114,116,116,116,116,,2017-04-14 05:50:56,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
115,117,117,117,117,,2017-04-14 05:54:13,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
116,118,118,118,118,,2017-04-14 05:57:30,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
117,119,119,119,119,,2017-04-14 06:00:46,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
118,120,120,120,120,,2017-04-14 06:04:02,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
119,121,121,121,121,,2017-04-14 06:07:17,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
120,122,122,122,122,,2017-04-14 06:10:34,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
121,123,123,123,123,,2017-04-14 06:13:51,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
122,124,124,124,124,,2017-04-14 06:17:07,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
123,125,125,125,125,,2017-04-14 06:20:23,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
124,126,126,126,126,,2017-04-14 06:23:39,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
125,127,127,127,127,,2017-04-14 06:26:55,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
126,128,128,128,128,,2017-04-14 06:30:12,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
127,129,129,129,129,,2017-04-14 06:33:28,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
128,130,130,130,130,,2017-04-14 06:36:44,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
129,131,131,131,131,,2017-04-14 06:40:00,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
130,132,132,132,132,,2017-04-14 06:43:15,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
131,133,133,133,133,,2017-04-14 06:46:33,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
132,134,134,134,134,,2017-04-14 06:49:49,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
133,135,135,135,135,,2017-04-14 06:53:05,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
134,136,136,136,136,,2017-04-14 06:54:27,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
135,137,137,137,137,,2017-04-14 06:55:15,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
136,138,138,138,138,,2017-04-14 06:56:03,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
137,139,139,139,139,,2017-04-14 06:56:51,0,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约135米,距青竹圫 约304米",112.75757,27.664659999999998,0.0,13
138,140,140,140,140,,2017-04-14 06:57:39,19,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距长塘 约221米,距青竹圫 约240米",112.75733999999999,27.663809999999998,97.19217687143451,13
139,141,141,141,141,,2017-04-14 06:58:27,29,13,"ACC开,3D定位,天线正常","湖南省湘潭市湘潭县,距上许家塘 约164米,距青竹圫 约311米",112.75733999999999,27.661170000000002,293.5550210321137,13
